name,latitude,longitude
Gateway Pusat,-7.224050863059490,112.658240107149
DC Wonokromo 1,-7.302542855175160,112.727313561085
DC Wonokromo 2,-7.294313336581280,112.734358122493
DC Gubeng,-7.276621240423930,112.748285016474
DC Manukan Tama,-7.262762638382290,112.666918537836
DC Tandes,-7.253159574750560,112.673139063762
DC Surabaya (Darmo),-7.264103624674440,112.681190968523
DC Kenjeran 1,-7.224848803711790,112.780786691642
DC Kenjeran 2,-7.225003100623305,112.780362062445
DC San Diego,-7.269298864683660,112.806708243117
DC Mulyosari,-7.257060321155980,112.795682780164
DC Tambak Segaran,-7.246589131945660,112.759115051328
DC Simokerto,-7.244062390563690,112.758801814821
DC Surabaya Utara,-7.220787799821680,112.733468832288
DC Kalimati Tengah,-7.235540365451170,112.740628681276
DC Kalisosok,-7.233905901808620,112.732429135985
DC Tanjung Perak,-7.241877643254520,112.731227439277
DC Dharmahusada,-7.266171809931550,112.765844607149
DC Kertajaya,-7.277738735563840,112.755625365758
DC Made,-7.2728457172905445,112.63675436667259
DC Sambikerep,-7.271418494933978,112.6601967266333
DC Gwalk,-7.283508270459239,112.65736431396311
DC Dukuh Pakis,-7.284602879838606,112.67736315052626
DC Darmo,-7.276258355586274,112.6819121585253
DC PTC Mall,-7.2905386843768785,112.67434192386426
DC Jambangan,-7.311951978818115,112.71816962249366
DC Surabaya Kidul,-7.328428675829953,112.71787228300487
DC Menanggal,-7.332700006272007,112.72160226477003
DC Kendalsari,-7.315478455141457,112.78401005132957
DC Rungkut,-7.330738738597117,112.78536704942653
DC Pandugo,-7.318105619823573,112.79724105736561
DC Bulak,-7.247487045992277,112.77640568016474
DC Tidar,-7.2566329776374445,112.72417326482145
DC Raya Demak,-7.235974313578626,112.71853022673686
DC Petemon Barat,-7.2664017200062325,112.715818381536
DC Bubutan 1,-7.254573378906449,112.72972195727363
DC Siwalankerto,-7.3346011683601064,112.73063166477003
DC Wonocolo 1,-7.326386203961325,112.73556692927112
DC Wonocolo 2,-7.311892788238002,112.74992829005674
DC Kutisari,-7.334571711885983,112.74787284127086
DC Tenggilis Mejoyo,-7.319932847919034,112.76010163365443
DC Panjang Jiwo,-7.3135563539977655,112.76550515132958
DC Raya Tenggilis,-7.320081820120038,112.76064343545151
DC Sukomanunggal,-7.265976196479349,112.69968318201614
DC Surabaya Barat,-7.256799555074801,112.69380658011353
DC Tegalsari,-7.269117006645750,112.72884339003600
DC Tegalsari 2,-7.266222208509400,112.73322075494000
DC Dukuh Setro,-7.238825029761560,112.77427964479000
DC Karang empat besar,-7.24986126725045,112.76997936415846
DC Kedungcowek,-7.237772967579963,112.77038141363205
DC Warugunung,-7.3479019230457805,112.67475026389971
DC WTC,-7.262570737545126,112.74799413561958
DC Kalianyar,-7.248456814407116,112.74930579912058
DC Babatan,-7.30880377603186,112.67720563206808
DC Wiyung,-7.312840257024453,112.69950138499479
DC Pakal,-7.234733423376466,112.6122101284843
DC Dukuh Kupang barat,-7.284135614217977,112.71495389481738
DC Dukuh pakis,-7.283930973710312,112.71506077959498
DC Dukuh pakis 2 ,-7.284978171857564,112.67744568546043
DC Sukolilo,-7.303681326276062,112.76826101868336
DC Perbanas,-7.305714803802186,112.76899735148444
DC Keputih,-7.290656016470098,112.8032113092760
DC Arief Hakim,-7.286708507997027,112.77807873626372
DC Citraland,-7.284655655679937,112.65280273694562
DC Gwalk,-7.2840416235488314,112.65709724117586
DC Semampir 1,-7.212900534311699,112.75289192721145
DC Semampir 3,-7.2262281965747714,112.74590269575798
DC Abdul Karim,-7.335983790386829,112.7759042509626
DC Rungkut Tengah,-7.332185263812269,112.76850650863362
DC Gunung Anyar,-7.333140514768501,112.79455994514777
DC Rungkut Menanggal,-7.3397187193352575,112.76688878102671
